ranking,modelo,link_review,link_importar,link_amazon,nota_global,som,anc,modo_ambiente,microfone,preço_medio_reais,autonomia_horas,resistencia,tipo,estilo,carrega_sem_fio,possui_anc,possui_modo_ambiente,possui_modo_jogo,possui_deteccao_uso,possui_atender_recusar,possui_play_pause,possui_avancar_musica,possui_retormar_musica,possui_chamar_assistente,possui_controle_volume,possui_configurar_toques,possui_multiponto,possui_deteccao_voz,possui_atendimento_automatico,possui_audio_espacial
1,Realme Buds Air 5 Pro,https://youtu.be/yYdHRzWAQGQ,https://s.click.aliexpress.com/e/_DdtW4lN,https://amzn.to/3JO9D1C,8.77,8.77,9.1,9,9.2,300,11,IPX5,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim
1,Tribit FlyBuds C1 Pro,https://youtu.be/7MOI8NqShEk,https://s.click.aliexpress.com/e/_Dl2Q175,https://amzn.to/3PqDCA6,8.77,8.76,9,8,9,420,8,IPX4,Intra Auricular,Hastes,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
3,Realme Buds Air 5,https://youtu.be/gWzSrnijA5U,https://s.click.aliexpress.com/e/_DEUFr1v,https://amzn.to/46HW0tr,8.77,8.77,9.1,9,9,226,7,IPX5,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não
4,OnePlus Buds Pro 2,https://youtu.be/d0br7vEIvhg,https://s.click.aliexpress.com/e/_Dk4UAcJ,https://amzn.to/3ZiPs0C,8.77,8.77,9.1,9,9,460,9,IPX4,Intra Auricular,Hastes,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim
5,QCY T13 ANC2,https://youtu.be/wFHEWbZvmUg,https://mercadolivre.com/sec/2fKtNx6,https://amzn.to/3y0k0Ms,8.77,8.77,9.1,9,8.9,190,8,IPX5,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
6,Soundcore Liberty 4 NC,https://youtu.be/LCY9uf3abQs,https://s.click.aliexpress.com/e/_DERFcjd,https://amzn.to/3LJ9EF2,8.77,8.77,9.2,9,9,380,10,IPX4,Intra Auricular,Hastes,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
7,Soundcore Liberty 4,https://youtu.be/31v16fjl320,https://s.click.aliexpress.com/e/_DFcGqdD,https://amzn.to/3HlN7Ly,8.77,8.77,9.1,9,9,450,9,IPX4,Intra Auricular,Hastes,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
8,Nothing Ear (2),https://youtu.be/3GEscJsRLQw,https://s.click.aliexpress.com/e/_Dlf2KUj,https://amzn.to/3JK20Jh,8.77,8.77,9,9,9,760,6,IP54,Intra Auricular,Hastes,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
9,CMF Everything Buds,https://youtu.be/6jhcfdMq5Mc,https://s.click.aliexpress.com/e/_DdHKlqL,https://amzn.to/3UAiyYV,8.77,8.77,9,8.9,8.9,220,8,IP54,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
10,Tranya Nova,https://youtu.be/LJCrl3X4xEw,https://amzn.to/3pWSNXI,https://amzn.to/3pWSNXI,8.77,8.77,9,8.75,9.1,400,9,IPX4,Intra Auricular,Hastes,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
11,Soundcore Liberty 3 Pro,https://youtu.be/W3hnzaKJTEI,https://s.click.aliexpress.com/e/_Dd02ZoL,https://amzn.to/3HkTL6e,8.77,8.76,9,9,9,600,8,IPX4,Intra Auricular,Cápsulas,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
12,Soundcore Liberty Air 2 Pro,https://youtu.be/hYHyHYvoWsc,https://s.click.aliexpress.com/e/_DClK6y3,https://amzn.to/3XHzRHD,8.77,8.76,9,8.9,9,400,7,IPX4,Intra Auricular,Hastes,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
13,1MORE Aero,https://youtu.be/oR3Tx46UQLg,https://s.click.aliexpress.com/e/_DnMqfKJ,https://amzn.to/3HYhk5i,8.77,8.76,9.1,8.9,9,400,7,IPX5,Intra Auricular,Hastes,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
14,1MORE Evo,https://youtu.be/XoiJSQcAkuE,https://s.click.aliexpress.com/e/_DchrKSj,https://amzn.to/387hyY6,8.77,8.76,9.1,8.7,9,635,8,IPX4,Intra Auricular,Cápsulas,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
15,Soundcore Space A40,https://youtu.be/HHZuzVHICYE,https://s.click.aliexpress.com/e/_DF6TMdH,https://amzn.to/3G7kiDA,8.77,8.76,9,8.9,8.9,450,10,IPX4,Intra Auricular,Cápsulas,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
16,Huawei Freebuds 5i,https://youtu.be/ZXy7dK5Yvwg,https://s.click.aliexpress.com/e/_DeqvLmr,https://amzn.to/42HoTVX,8.77,8.76,9,8.8,9,280,7.5,IP54,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
17,Huawei Freebuds Pro 2,https://youtu.be/wTYr4WPZAMI,https://s.click.aliexpress.com/e/_DmANVj1,https://amzn.to/3tj0NQz,8.77,8.76,9,8.75,8.9,660,7,IP54,Intra Auricular,Hastes,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
18,TOZO NC9,https://youtu.be/7m-8eD3-ifg,https://s.click.aliexpress.com/e/_DBy6tmF,https://amzn.to/3A4Axxc,8.77,8.76,9,8.75,8.8,240,10,IPX6,Intra Auricular,Cápsulas,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
19,TOZO Golden X1,https://youtu.be/M5rXk_EyVXo,https://s.click.aliexpress.com/e/_DdJHy1N,https://amzn.to/3IVmxJF,8.77,8.76,8.8,8.9,8.8,870,8,IPX6,Intra Auricular,Cápsulas,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
20,Samsung Galaxy Buds2 Pro,https://youtu.be/qyUlIupMILc,N/A,https://amzn.to/3HeAL94,8.77,8.77,9,9.3,9,800,8,IPX7,Intra Auricular,Cápsulas,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
21,Realme Buds Air 3,https://youtu.be/zvZmBXxwJjE,https://s.click.aliexpress.com/e/_DkvjkKT,https://amzn.to/3usiE8P,8.76,8.75,9.1,8.9,8.9,210,7,IPX5,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim,Não
22,1More Pistonbuds Pro Q30,https://youtu.be/6zSuqSIeE9k,https://s.click.aliexpress.com/e/_DCjA6mH,https://amzn.to/42IAaFQ,8.76,8.75,9.1,8.75,9.2,250,7.5,IPX5,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
23,Samsung Galaxy Buds Pro,https://youtu.be/HvWYVKTHBVA,N/A,https://amzn.to/3J7mRnp,8.76,8.75,9,9,9,740,8,IPX7,Intra Auricular,Cápsulas,Sim,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
24,QCY HT07 ArcBuds,https://youtu.be/Kl6q7KTHp-c,https://s.click.aliexpress.com/e/_DD3gSeJ,https://amzn.to/3pbNQt9,8.76,8.75,9,9,8.7,170,8,IPX5,Intra Auricular,Cápsulas,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
25,QCY HT05 Melobuds,https://youtu.be/F-q-bzFLmfk,https://s.click.aliexpress.com/e/_DdZ6BzV,https://amzn.to/3rPgUol,8.76,8.75,9,9,8.7,170,7.5,IPX5,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
26,1MORE Pistonbuds Pro,https://youtu.be/I9lR0jPPgNw,https://s.click.aliexpress.com/e/_Dd1fQyL,https://amzn.to/3tLzoI2,8.76,8.75,9.1,8,8.9,260,7.5,IPX5,Intra Auricular,Cápsulas,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não
27,Nothing Ear (1),https://youtu.be/TotFFcmTDMQ,https://s.click.aliexpress.com/e/_DkqKpYB,https://amzn.to/3EBmIJB,8.76,8.75,9,9,9,790,5,IPX4,Intra Auricular,Hastes,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Não,Não
28,Huawei Freebuds Pro,https://youtu.be/uxbIAlPk-ss,https://s.click.aliexpress.com/e/_Dm523WX,https://amzn.to/3ujUEW7,8.76,8.75,9,8.75,9,450,7,N/A,Intra Auricular,Hastes,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
