modelo,tipo,preço_medio_reais,nota_global,som,anc,autonomia_horas,estilo,microfone,possui_modo_jogo,resistencia,link_review,link_amazon,link_importar,modo_ambiente,carrega_sem_fio,possui_anc,possui_modo_ambiente,possui_deteccao_uso,possui_atender_recusar,possui_play_pause,possui_avancar_musica,possui_retormar_musica,possui_chamar_assistente,possui_controle_volume,possui_configurar_toques,possui_multiponto,possui_deteccao_voz,possui_atendimento_automatico,possui_audio_espacial
Realme Buds Air 5 Pro,Intra Auricular,300,8.77,8.77,9.1,11,Hastes,9.2,Sim,IPX5,https://youtu.be/yYdHRzWAQGQ,https://amzn.to/3JO9D1C,https://s.click.aliexpress.com/e/_DdtW4lN,9,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim
Tribit FlyBuds C1 Pro,Intra Auricular,420,8.77,8.76,9,8,Hastes,9,Não,IPX4,https://youtu.be/7MOI8NqShEk,https://amzn.to/3PqDCA6,https://s.click.aliexpress.com/e/_Dl2Q175,8,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não
Realme Buds Air 5,Intra Auricular,226,8.77,8.77,9.1,7,Hastes,9,Sim,IPX5,https://youtu.be/gWzSrnijA5U,https://amzn.to/46HW0tr,https://s.click.aliexpress.com/e/_DEUFr1v,9,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não
OnePlus Buds Pro 2,Intra Auricular,460,8.77,8.77,9.1,9,Hastes,9,Sim,IPX4,https://youtu.be/d0br7vEIvhg,https://amzn.to/3ZiPs0C,https://s.click.aliexpress.com/e/_Dk4UAcJ,9,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Não,Sim
QCY T13 ANC2,Intra Auricular,190,8.77,8.77,9.1,8,Hastes,8.9,Sim,IPX5,https://youtu.be/wFHEWbZvmUg,https://amzn.to/3y0k0Ms,https://mercadolivre.com/sec/2fKtNx6,9,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
Soundcore Liberty 4 NC,Intra Auricular,380,8.77,8.77,9.2,10,Hastes,9,Não,IPX4,https://youtu.be/LCY9uf3abQs,https://amzn.to/3LJ9EF2,https://s.click.aliexpress.com/e/_DERFcjd,9,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
Soundcore Liberty 4,Intra Auricular,450,8.77,8.77,9.1,9,Hastes,9,Não,IPX4,https://youtu.be/31v16fjl320,https://amzn.to/3HlN7Ly,https://s.click.aliexpress.com/e/_DFcGqdD,9,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
Nothing Ear (2),Intra Auricular,760,8.77,8.77,9,6,Hastes,9,Sim,IP54,https://youtu.be/3GEscJsRLQw,https://amzn.to/3JK20Jh,https://s.click.aliexpress.com/e/_Dlf2KUj,9,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
CMF Everything Buds,Intra Auricular,220,8.77,8.77,9,8,Hastes,8.9,Sim,IP54,https://youtu.be/6jhcfdMq5Mc,https://amzn.to/3UAiyYV,https://s.click.aliexpress.com/e/_DdHKlqL,8.9,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
Tranya Nova,Intra Auricular,400,8.77,8.77,9,9,Hastes,9.1,Sim,IPX4,https://youtu.be/LJCrl3X4xEw,https://amzn.to/3pWSNXI,https://amzn.to/3pWSNXI,8.75,Sim,Sim,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não
